time,yaw,pitch,roll
13:24:48,InéInitializing I2C d
13:24:48,vic
13:24:48,s...
T
13:24:48,sting d
13:24:48,vic
13:24:48, conn
13:24:48,ctions...
MPU6050 conn
13:24:48,ction succ
13:24:48,ssful

S
13:24:48,nd any charact
13:24:49,r to b
13:24:49,gin DMP programming and d
13:24:49,mo: 
Initializing DMP...
Enabling DMP...
Enabling int
13:24:49,rrupt d
13:24:49,t
13:24:49,ction (Arduino 
13:24:49,xt
13:24:49,rnal int
13:24:49,rrupt 0)...
DMP r
13:24:49,ady! Waiting for first int
13:24:49,rrupt...
0.15,-2.71,0.51
13:24:49,0.15,-2.73,0.51
13:24:49,0.15,-2.74,0.48
13:24:49,0.15,-2.75,0.45
13:24:49,0.15,-2.76,0.43
13:24:49,0.15,-2.78,0.40
13:24:49,0.15,-2.78,0.37
13:24:49,0.15,-2.80,0.35
13:24:49,0.15,-2.81,0.33
13:24:49,0.15,-2.83,0.30
13:24:49,0.15,-2.84,0.28
13:24:49,0.15,-2.85,0.25
13:24:49,0.15,-2.86,0.23
13:24:49,0.15,-2.88,0.20
13:24:49,0.14,-2.88,0.18
13:24:49,0.14,-2.90,0.16
13:24:49,0.14,-2.91,0.13
13:24:49,0.14,-2.92,0.11
13:24:49,0.14,-2.93,0.09
13:24:49,0.14,-2.94,0.07
13:24:49,0.14,-2.95,0.04
13:24:49,0.14,-2.96,0.02
13:24:49,0.14,-2.97,-0.00
13:24:49,0.14,-2.99,-0.02
13:24:49,0.14,-2.99,-0.05
13:24:49,0.14,-3.00,-0.06
13:24:49,0.14,-3.01,-0.08
13:24:49,0.14,-3.03,-0.10
13:24:49,0.14,-3.04,-0.12
13:24:49,0.14,-3.05,-0.14
13:24:49,0.14,-3.06,-0.16
13:24:49,0.14,-3.06,-0.18
13:24:49,0.13,-3.08,-0.20
13:24:49,0.13,-3.08,-0.22
13:24:49,0.13,-3.09,-0.24
13:24:49,0.13,-3.11,-0.26
13:24:49,0.13,-3.11,-0.28
13:24:49,0.13,-3.12,-0.29
13:24:49,0.13,-3.13,-0.30
13:24:49,0.13,-3.14,-0.33
13:24:49,0.13,-3.15,-0.34
13:24:49,0.13,-3.15,-0.36
13:24:49,0.13,-3.17,-0.37
13:24:49,0.13,-3.18,-0.39
13:24:49,0.13,-3.18,-0.41
13:24:49,0.13,-3.19,-0.42
13:24:49,0.13,-3.20,-0.44
13:24:49,0.13,-3.20,-0.46
13:24:49,0.12,-3.21,-0.47
13:24:49,0.13,-3.22,-0.49
13:24:50,0.13,-3.22,-0.51
13:24:50,0.12,-3.23,-0.52
13:24:50,0.12,-3.24,-0.54
13:24:50,0.12,-3.25,-0.55
