time,yaw,pitch,roll
9.35,1.40
94.57,48.38,1.39
94.58,48.40,1.37
94.58,48.40,1.37
94.55,48.37,1.37
94.51,48.34,1.38
94.57,48.28,1.39
94.57,48.32,1.40
94.56,48.35,1.40
94.57,48.38,1.39
94.58,48.40,1.37
94.58,48.40,1.37
94.55,48.37,1.37
94.51,48.34,1.38
94.46,48¦bŠršª-3.66,47.30,5.10
9-3.67,47.32,5.08
9-3.66,47.33,5.04
9-3.65,47.36,4.99
9-3.66,47.38,4.95
9-3.67,47.41,4.90
9-3.67,47.42,4.88
9-3.65,47.42,4.86
9-3.64,47.41,4.84
9-3.63,47.39,4.84
9-3.63,47.37,4.84
9-3.61,47.35,4.83
9-3.59,47.31,4.80
9-3.61,47.27,4.79
9-3.64,47.22,4.78
9-3.66,47.18,4.75
9-3.68,47.16,4.71
9-3.69,47.15,4.69
9-3.70,47.15,4.66
9-3.70,47.17,4.63
9-3.69,47.19,4.59
9-3.69,47.22,4.54
9-3.70,47.23,4.51
9-3.71,47.23,4.48
9-3.73,47.22,4.45
9-3.73,47.19,4.40
9-3.71,47.16,4.35
9-3.71,47.11,4.31
9-3.71,47.06,4.30
9-3.70,47.02,4.31
9-3.68,47.00,4.32
9-3.66,46.99,4.33
9-3.61,47.00,4.32
9-3.57,47.03,4.31
9-3.54,47.09,4.30
9-3.52,47.14,4.29
9-3.53,47.16,4.25
10-3.56,47.17,4.22
10-3.60,47.16,4.19
10-3.62,47.14,4.15
10-3.63,47.10,4.12
10-3.66,47.07,4.09
10-3.64,47.04,4.06
10-3.59,47.01,4.04
10-3.55,46.99,4.04
10-3.48,46.99,4.06
10-3.41,47.00,4.06
10-3.36,47.03,4.04
10-3.35,47.10,4.01
10-3.30,47.18,3.93
10-3.26,47.23,3.83
10-3.26,47.22,3.76
10-3.31,47.13,3.73
10-3.33,46.99,3.70
10-3.35,46.79,3.69
10-3.42,46.59,3.72
10-3.45,46.42,3.75
10-3.47,46.29,3.76
10-3.51,46.22,3.76
10-3.55,46.23,3.77
10-3.53,46.33,3.76
10-3.47,46.48,3.74
10-3.41,46.66,3.73
10-3.37,46.82,3.73
10-3.37,46.97,3.73
10-3.34,47.09,3.71
10-3.31,47.19,3.71
10-3.32,47.22,3.69
10-3.36,47.22,3.67
10-3.43,47.18,3.63
10-3.50,47.11,3.57
10-3.55,47.02,3.51
10-3.57,46.92,3.47
10-3.55,46.81,3.44
10-3.53,46.71,3.45
10-3.52,46.63,3.47
10-3.50,46.57,3.51
10-3.47,46.53,3.54
10-3.42,46.53,3.55
10-3.38,46.57,3.56
10-3.34,46.64,3.56
10-3.32,46.72,3.56
10-3.30,46.81,3.55
10-3.29,46.91,3.52
10-3.27,46.98,3.47
10-3.27,47.03,3.41
10-3.27,47.06,3.34
10-3.30,47.03,3.26
10-3.33,46.94,3.20
10-3.35,46.80,3.16
10-3.39,46.62,3.14
10-3.41,46.42,3.15
10-3.43,46.24,3.18
10-3.42,46.08,3.21
10-3.41,45.98,3.26
10-3.37,45.96,3.30
10-3.32,46.02,3.33
11-3.26,46.15,3.35
11-3.23,46.34,3.37
11-3.21,46.57,3.37
11-3.17,46.80,3.33
11-3.13,46.98,3.27
11-3.11,47.10,3.23
11-3.10,47.14,3.21
11-3.10,47.10,3.20
11-3.12,46.97,3.19
11-3.16,46.78,3.21
11-3.21,46.57,3.23
11-3.25,46.38,3.25
11-3.25,46.21,3.25
11-3.25,46.09,3.25
11-3.24,46.03,3.25
11-3.21,46.03,3.26
11-3.19,46.09,3.26
11-3.18,46.19,3.25
11-3.17,46.30,3.21
11-3.16,46.40,3.15
11-3.17,46.48,3.10
11-3.22,46.51,3.07
11-3.27,46.50,3.05
11-3.30,46.45,3.03
11-3.29,46.38,3.02
11-3.29,46.31,3.04
11-3.27,46.22,3.08
11-3.26,46.14,3.13
11-3.22,46.07,3.19
11-3.19,46.01,3.25
11-3.16,46.00,3.31
11-3.12,46.01,3.36
11-3.10,46.03,3.39
11-3.10,46.06,3.41
11-3.10,46.06,3.41
11-3.14,46.05,3.40
11-3.17,46.02,3.38
11-3.21,45.98,3.35
11-3.25,45.95,3.32
11-3.30,45.93,3.27
11-3.34,45.94,3.23
11-3.38,45.96,3.20
11-3.36,46.01,3.16
11-3.33,46.08,3.13
11-3.30,46.14,3.13
11-3.25,46.18,3.13
11-3.20,46.19,3.15
11-3.13,46.16,3.19
11-3.05,46.11,3.23
11-3.01,46.02,3.29
11-3.00,45.93,3.37
11-3.01,45.84,3.43
11-3.02,45.78,3.46
11-3.04,45.76,3.45
11-3.05,45.78,3.41
11-3.07,45.84,3.35
11-3.07,45.92,3.26
11-3.08,46.00,3.18
11-3.11,46.06,3.09
11-3.14,46.09,3.03
12-3.15,46.10,2.98
12-3.16,46.10,2.94
12-3.16,46.07,2.93
12-3.16,46.04,2.95
12-3.14,46.00,2.97
12-3.10,45.98,3.00
12-3.02,45.96,3.05
12-2.94,45.95,3.11
12-2.91,45.95,3.19
12-2.86,45.95,3.26
12-2.79,45.97,3.31
12-2.75,46.01,3.35
12-2.72,46.05,3.38
12-2.72,46.09,3.39
12-2.76,46.11,3.38
12-2.85,46.10,3.35
12-2.93,46.07,3.31
12-3.02,46.03,3.23
12-3.09,46.00,3.18
12-3.15,45.97,3.14
12-3.19,45.96,3.10
12-3.20,45.96,3.07
12-3.19,45.98,3.03
12-3.20,46.04,3.01
12-3.18,46.09,2.99
12-3.16,46.13,2.97
12-3.13,46.17,2.95
12-3.10,46.17,2.95
12-3.08,46.11,2.98
12-3.09,46.01,3.04
12-3.08,45.89,3.09
12-3.06,45.77,3.14
12-3.06,45.67,3.19
12-3.07,45.62,3.22
12-3.08,45.60,3.23
12-3.12,45.60,3.22
12-3.14,45.66,3.20
12-3.14,45.74,3.16
12-3.15,45.80,3.12
12-3.20,45.83,3.12
12-3.25,45.85,3.13
12-3.28,45.86,3.12
12-3.25,45.88,3.10
12-3.23,45.91,3.08
12-3.22,45.94,3.08
12-3.22,45.97,3.07
12-3.21,46.00,3.03
12-3.19,46.04,2.99
12-3.16,46.06,2.96
12-3.16,46.09,2.94
12-3.16,46.12,2.92
12-3.13,46.14,2.88
12-3.10,46.16,2.84
12-3.07,46.18,2.80
12-3.03,46.20,2.77
12-3.00,46.20,2.74
12-3.01,46.20,2.72
12-3.01,46.26,2.68
12-2.94,46.39,2.58
12-2.75,46.46,2.44
13-2.65,46.45,2.37
13-2.63,46.44,2.44
13-2.51,46.39,2.46
13-2.35,46.29,2.44
13-2.33,46.15,2.50
13-2.30,45.93,2.60
13-2.21,45.62,2.64
13-2.15,45.34,2.64
13-2.09,45.16,2.59
13-2.00,45.08,2.52
13-1.91,45.11,2.46
13-1.78,45.24,2.36
13-1.65,45.46,2.22
13-1.54,45.70,2.07
13-1.45,45.94,1.94
13-1.34,46.15,1.82
13-1.21,46.31,1.74
13-1.06,46.41,1.69
13-0.91,46.44,1.68
13-0.74,46.41,1.67
13-0.58,46.32,1.68
13-0.44,46.18,1.71
13-0.32,45.99,1.72
13-0.26,45.79,1.72
13-0.22,45.64,1.67
13-0.17,45.54,1.57
13-0.09,45.50,1.44
130.00,45.55,1.31
130.09,45.67,1.18
130.20,45.79,1.04
130.28,45.92,0.88
130.35,46.03,0.75
130.42,46.13,0.63
130.51,46.20,0.57
130.61,46.26,0.54
130.70,46.29,0.54
130.78,46.32,0.54
130.82,46.34,0.53
130.83,46.38,0.52
130.87,46.42,0.51
130.94,46.45,0.47
130.92,46.48,0.47
130.93,46.52,0.48
131.00,46.54,0.46
131.04,46.56,0.44
